Id,SalePrice
1461,110000
1462,125000
1463,190000
1464,185000
1465,176000
1466,178000
1467,176000
1468,185000
1469,185000
1470,110000
1471,155000
1472,88000
1473,112000
1474,148500
1475,146000
1476,269500
1477,269500
1478,190000
1479,141000
1480,555000
1481,290000
1482,202500
1483,260000
1484,144152
1485,140000
1486,185000
1487,228000
1488,250000
1489,269500
1490,226000
1491,185000
1492,163500
1493,170000
1494,290000
1495,290000
1496,155000
1497,190000
1498,151000
1499,151000
1500,151000
1501,173000
1502,151000
1503,394432
1504,230000
1505,190000
1506,143000
1507,240000
1508,190000
1509,140000
1510,140000
1511,140000
1512,167000
1513,140000
1514,125000
1515,140000
1516,174000
1517,177000
1518,110000
1519,185000
1520,139000
1521,125000
1522,140000
1523,135000
1524,139000
1525,129000
1526,132000
1527,140000
1528,135000
1529,140000
1530,140000
1531,133900
1532,132000
1533,140000
1534,135000
1535,131000
1536,135000
1537,110000
1538,135000
1539,140000
1540,140000
1541,140000
1542,140000
1543,256000
1544,110000
1545,135000
1546,110000
1547,115000
1548,148000
1549,79000
1550,140000
1551,139000
1552,133900
1553,131000
1554,86000
1555,157000
1556,135000
1557,107500
1558,100000
1559,128000
1560,140000
1561,132000
1562,127000
1563,135000
1564,153000
1565,140000
1566,215000
1567,110000
1568,190000
1569,140000
1570,140000
1571,140000
1572,139000
1573,611657
1574,140000
1575,215000
1576,250000
1577,208300
1578,140000
1579,144000
1580,185000
1581,135000
1582,110000
1583,385000
1584,250000
1585,140000
1586,60000
1587,110000
1588,139000
1589,140000
1590,140000
1591,135000
1592,100000
1593,110000
1594,100000
1595,115000
1596,125000
1597,175000
1598,184000
1599,145000
1600,140000
1601,39300
1602,140000
1603,132000
1604,275000
1605,290000
1606,140000
1607,185000
1608,200141
1609,224000
1610,140000
1611,140000
1612,190000
1613,185000
1614,135000
1615,80000
1616,88000
1617,88000
1618,110000
1619,152000
1620,178000
1621,185000
1622,135000
1623,215000
1624,190000
1625,129000
1626,170000
1627,190000
1628,250000
1629,140000
1630,350000
1631,176000
1632,180000
1633,140000
1634,185000
1635,178000
1636,176000
1637,190000
1638,190000
1639,190000
1640,190000
1641,190000
1642,190000
1643,190000
1644,190000
1645,170000
1646,140000
1647,140000
1648,140000
1649,139000
1650,140000
1651,110000
1652,100000
1653,94500
1654,151000
1655,148500
1656,148500
1657,151000
1658,148500
1659,151000
1660,140000
1661,260000
1662,250000
1663,250000
1664,611657
1665,240000
1666,315000
1667,260000
1668,250000
1669,190000
1670,170000
1671,136500
1672,611657
1673,250000
1674,250000
1675,185000
1676,185000
1677,180000
1678,611657
1679,501837
1680,185000
1681,185000
1682,315000
1683,202500
1684,185000
1685,178000
1686,189000
1687,140000
1688,185000
1689,185000
1690,185000
1691,185000
1692,190000
1693,140000
1694,137500
1695,180000
1696,260000
1697,180000
1698,250000
1699,271900
1700,190000
1701,190000
1702,240000
1703,190000
1704,190000
1705,192000
1706,611657
1707,185000
1708,196000
1709,244600
1710,185000
1711,190000
1712,280000
1713,190000
1714,190000
1715,190000
1716,147400
1717,176000
1718,147000
1719,190000
1720,190000
1721,142500
1722,147000
1723,140000
1724,185000
1725,190000
1726,180000
1727,176000
1728,178000
1729,185000
1730,112000
1731,140000
1732,120500
1733,125000
1734,135000
1735,135000
1736,135000
1737,244000
1738,185000
1739,130000
1740,275000
1741,185000
1742,173000
1743,185000
1744,190000
1745,180500
1746,140000
1747,190000
1748,242000
1749,140000
1750,140000
1751,190000
1752,127000
1753,110000
1754,170000
1755,140000
1756,140000
1757,110000
1758,140000
1759,140000
1760,140000
1761,140000
1762,140000
1763,140000
1764,135000
1765,185000
1766,167000
1767,143000
1768,135000
1769,140000
1770,135000
1771,139000
1772,140000
1773,139000
1774,141000
1775,139000
1776,141000
1777,110000
1778,135000
1779,82000
1780,140000
1781,139000
1782,110000
1783,140000
1784,140000
1785,128000
1786,239000
1787,140000
1788,86000
1789,110000
1790,90350
1791,185000
1792,140000
1793,140000
1794,135000
1795,139000
1796,140000
1797,176000
1798,135000
1799,110000
1800,140000
1801,135000
1802,140000
1803,140000
1804,147000
1805,139000
1806,135000
1807,135000
1808,140000
1809,140000
1810,140000
1811,115000
1812,115000
1813,135000
1814,100000
1815,60000
1816,109500
1817,140000
1818,125000
1819,98000
1820,85000
1821,115000
1822,140000
1823,85000
1824,115000
1825,140000
1826,117000
1827,115000
1828,115000
1829,81000
1830,140000
1831,140000
1832,137000
1833,140000
1834,117000
1835,128000
1836,100000
1837,110000
1838,135000
1839,86000
1840,179000
1841,179000
1842,135000
1843,140000
1844,140000
1845,190000
1846,141000
1847,190000
1848,84500
1849,175000
1850,139000
1851,140000
1852,135000
1853,144000
1854,140000
1855,184000
1856,233230
1857,133900
1858,144000
1859,118964
1860,140000
1861,118858
1862,250000
1863,250000
1864,250000
1865,423000
1866,190000
1867,244600
1868,223000
1869,185000
1870,145000
1871,190000
1872,185000
1873,260000
1874,144000
1875,282922
1876,185000
1877,190000
1878,190000
1879,135000
1880,144000
1881,423000
1882,190000
1883,190000
1884,190000
1885,137500
1886,374000
1887,185000
1888,190000
1889,185000
1890,140000
1891,145000
1892,117000
1893,135000
1894,141000
1895,140000
1896,135000
1897,118000
1898,135000
1899,135000
1900,135000
1901,140000
1902,140000
1903,140000
1904,140000
1905,140000
1906,140000
1907,190000
1908,151000
1909,151000
1910,151000
1911,160000
1912,180000
1913,140000
1914,89000
1915,275000
1916,85000
1917,250000
1918,128000
1919,140000
1920,333168
1921,555000
1922,271000
1923,140000
1924,235000
1925,190000
1926,385000
1927,135000
1928,140000
1929,127000
1930,180000
1931,144000
1932,185000
1933,169900
1934,185000
1935,185000
1936,185000
1937,178000
1938,185000
1939,190000
1940,176000
1941,185000
1942,185000
1943,176000
1944,250000
1945,190000
1946,135000
1947,185000
1948,110000
1949,190000
1950,140000
1951,345000
1952,197000
1953,140000
1954,190000
1955,140000
1956,423000
1957,185000
1958,290000
1959,140000
1960,135000
1961,110000
1962,91000
1963,125000
1964,118000
1965,148500
1966,151000
1967,271000
1968,611657
1969,190000
1970,250000
1971,423000
1972,250000
1973,190000
1974,250000
1975,611657
1976,190000
1977,315000
1978,228000
1979,250000
1980,315000
1981,141000
1982,185000
1983,176000
1984,173000
1985,392500
1986,392500
1987,176000
1988,137500
1989,185000
1990,185000
1991,185000
1992,185000
1993,185000
